Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
EYLD,0,0,0.0,0,0.0,0.0,0,0
FFHG,0,0,0.0,0,0.0,0.0,0,0
FLQM,0,0,0.0,0,0.0,0.0,0,0
FLQS,0,0,0.0,0,0.0,0.0,0,0
FNCF,0,0,0.0,0,0.0,0.0,0,0
FUT,0,0,0.0,0,0.0,0.0,0,0
GARD,0,0,0.0,0,0.0,0.0,0,0
GDVD,0,0,0.0,0,0.0,0.0,0,0
GSD,0,0,0.0,0,0.0,0.0,0,0
HEUS,0,0,0.0,0,0.0,0.0,0,0
HEUV,0,0,0.0,0,0.0,0.0,0,0
HGSD,0,0,0.0,0,0.0,0.0,0,0
HYIH,0,0,0.0,0,0.0,0.0,0,0
ICOW,0,0,0.0,0,0.0,0.0,0,0
IDHD,0,0,0.0,0,0.0,0.0,0,0
IFIX,0,0,0.0,0,0.0,0.0,0,0
IGVT,0,0,0.0,0,0.0,0.0,0,0
IMOM,0,0,0.0,0,0.0,0.0,0,0
INDF,0,0,0.0,0,0.0,0.0,0,0
ITML,0,0,0.0,0,0.0,0.0,0,0
ITMS,0,0,0.0,0,0.0,0.0,0,0
JPGB,0,0,0.0,0,0.0,0.0,0,0
JPST,0,0,0.0,0,0.0,0.0,0,0
KEMP,0,0,0.0,0,0.0,0.0,0,0
LVIN,0,0,0.0,0,0.0,0.0,0,0
LVUS,0,0,0.0,0,0.0,0.0,0,0
MRGR,0,0,0.0,0,0.0,0.0,0,0
NUDM,0,0,0.0,0,0.0,0.0,0,0
NUEM,0,0,0.0,0,0.0,0.0,0,0
NULV,0,0,0.0,0,0.0,0.0,0,0
NUMG,0,0,0.0,0,0.0,0.0,0,0
NUMV,0,0,0.0,0,0.0,0.0,0,0
NURE,0,0,0.0,0,0.0,0.0,0,0
NUSC,0,0,0.0,0,0.0,0.0,0,0
PEX,0,0,0.0,0,0.0,0.0,0,0
PSMB,0,0,0.0,0,0.0,0.0,0,0
PSMC,0,0,0.0,0,0.0,0.0,0,0
PSMG,0,0,0.0,0,0.0,0.0,0,0
PSMM,0,0,0.0,0,0.0,0.0,0,0
QXMI,0,0,0.0,0,0.0,0.0,0,0
QXRR,0,0,0.0,0,0.0,0.0,0,0
QXTR,0,0,0.0,0,0.0,0.0,0,0
RCOM,0,0,0.0,0,0.0,0.0,0,0
SFHY,0,0,0.0,0,0.0,0.0,0,0
SFIG,0,0,0.0,0,0.0,0.0,0,0
SMMV,0,0,0.0,0,0.0,0.0,0,0
SPVM,0,0,0.0,0,0.0,0.0,0,0
STOT,0,0,0.0,0,0.0,0.0,0,0
TBLU,0,0,0.0,0,0.0,0.0,0,0
TCHF,0,0,0.0,0,0.0,0.0,0,0
TCTL,0,0,0.0,0,0.0,0.0,0,0
UTLF,0,0,0.0,0,0.0,0.0,0,0
WFHY,0,0,0.0,0,0.0,0.0,0,0
WFIG,0,0,0.0,0,0.0,0.0,0,0
XD,0,0,0.0,0,0.0,0.0,0,0
XE,0,0,0.0,0,0.0,0.0,0,0
XF,0,0,0.0,0,0.0,0.0,0,0
XH,0,0,0.0,0,0.0,0.0,0,0
XI,0,0,0.0,0,0.0,0.0,0,0
XK,0,0,0.0,0,0.0,0.0,0,0
XM,0,0,0.0,0,0.0,0.0,0,0
XS,0,0,0.0,0,0.0,0.0,0,0
XSHQ,0,0,0.0,0,0.0,0.0,0,0
XU,0,0,0.0,0,0.0,0.0,0,0
XUSA,0,0,0.0,0,0.0,0.0,0,0
